S.no,Items,Description,Price(in AED),Image url
59,Mafu Tofu Prawns,"simmered silken tofu flavored with prawn, and fermented bean paste.",47.25,
60,Prawn Curry,,52.5,
61,Prawn Kung Pao,,52.5,
62,Prawn with Broccoli,,52.5,
63,Prawn with Cashewnuts,,52.5,
64,Prawn with Chinese Mushroom & Bamboo Shoot,,52.5,https://images.deliveryhero.io/image/talabat/Menuitems/72BD9EDA2BB8D6CAD34E54A1ABCDDDE4?width=172&amp;height=172
65,Prawn with Ginger & Spring Onion,,52.5,
66,Prawn with Mixed Vegetable,,52.5,
67,Prawn with Pineapple,,52.5,
68,Prawn with Salt & Pepper,,52.5,https://images.deliveryhero.io/image/talabat/Menuitems/0FAB732A51D806B5D4CBF6E79DAD63B2?width=172&amp;height=172
69,Prawns in Choice of Sauce,,52.5,
70,BBQ Peking Duck with Pancakes & Salad 1/2,,78.75,https://images.deliveryhero.io/image/talabat/Menuitems/BFDC10BAB4BA73F3FBCBEDBD2DE47AEB?width=172&amp;height=172
71,BBQ Peking Duck with Pancakes & Salad Whole,,157.5,
72,Duck Cantonese with Bean Sprout,,68.25,
73,Duck in Choice of Sauce,,68.25,
74,Duck with Chinese Mushroom,,68.25,
75,Duck with Honey sauce,,65,
76,Duck with Pineapple,,68.25,
77,Pancake,,10.5,
78,Lobster in Choice of Sauce,,136.5,
79,Beef Curry,beef pieces with the special curry sauce cooked on the chinese way.,44.1,
80,Beef In Choice of Sauce,"Juicy pieces of beef prepared in our signature sauces (Hot/Mild Garlic, Oyster, Sweet & Sour, Hot Chili, Manchurian, Plum, Schezwan, Black Bean, Hot & Spicy)",44.1,https://images.deliveryhero.io/image/talabat/Menuitems/7E6C1B123EBC2D2DDFE6CACCA3550212?width=172&amp;height=172
81,Beef with Bean Sprouts,Sliced beef tossed in our signature sauce with bean sprouts.,44.1,
82,Beef with Broccoli,Sliced beef tossed in our signature sauce with broccoli.,44.1,
83,Beef with Chinese Mushroom & Bamboo Shoot,Sliced beef simmered with bamboo shoots and black mushroom.,44.1,
84,Beef with Ginger & Spring Onion,Sliced beef tossed with ginger & spring onion .,44.1,
85,Beef with Mixed Vegetables,Our chef's special sauce tempered beef with mixed vegetables.,45.15,
86,Beef with Pineapple,Our chef's special sauce is tempered with pineapple.,44.1,
87,Beef with Salt & Pepper,Sliced beef tossed in an original flavour of chinese salt and pepper.,44.1,
88,Crispy Beef,Fried crispy beef with your choice of sauce.,44.1,https://images.deliveryhero.io/image/talabat/Menuitems/D6FCC9E21E74A660B01CCD962FEC0766?width=172&amp;height=172
89,Roast Beef with green pepper,,45.15,
90,Roast Beef with mixed vegetables,Our chef's special sauce tempered roasted beef with mixed vegetables.,44.1,https://images.deliveryhero.io/image/talabat/Menuitems/BD9D88C14141D51AA1DF6AE614D2F54E?width=172&amp;height=172
91,Chicken Curry,,40.95,
92,Chicken Kung Pao,,42,https://images.deliveryhero.io/image/talabat/Menuitems/19E81B19282EA2301185692B7545879E?width=172&amp;height=172
93,Chicken in Choice of Sauce,,40.95,https://images.deliveryhero.io/image/talabat/Menuitems/74190908E059F2A3B65B516EE682E901?width=172&amp;height=172
94,Chicken with Bean Sprouts,,40.95,
95,Chicken with Broccoli,,40.95,https://images.deliveryhero.io/image/talabat/Menuitems/02F96F66042CEF724E5C6FD64BD75638?width=172&amp;height=172
96,Chicken with Cashewnuts,,42,https://images.deliveryhero.io/image/talabat/Menuitems/AEA8FD8E0E4CE8A141E50CFBD4334BFF?width=172&amp;height=172
97,Chicken with Chinese Mushroom & Bamboo Shoot,,40.95,
98,Chicken with Ginger & Spring Onion,,40.95,
99,Chicken with Honey,,40.95,https://images.deliveryhero.io/image/talabat/Menuitems/7997DEFE384C6F157EF3C2A58D3FD384?width=172&amp;height=172
100,Chicken with Lemon,,40.95,
101,Chicken with Mixed Vegetables,,40.95,
102,Chicken with Pineapple,,40.95,
103,Chicken with Salt & Pepper,,40.95,
104,Fish Chinese Mushroom,,42,
105,Fish Curry,,42,
106,Fish Mandarin Style,,42,https://images.deliveryhero.io/image/talabat/Menuitems/A0CA726EB63B9DBC6157D4202B72EEDD?width=172&amp;height=172
107,Fish in Choice of Sauce,,42,https://images.deliveryhero.io/image/talabat/Menuitems/B55217DA9F9CCB5042C48148F9E4481C?width=172&amp;height=172
108,Fish with Broccoli,,42,
109,Fish with Chili Garlic & Bay leaves,,42,
110,Fish with Mix Vegetables,,42,
111,Fish with Pineapple,,42,
112,Fish with Salt & Pepper,,42,
113,Squid in Choice of Sauce,,37.8,https://images.deliveryhero.io/image/talabat/Menuitems/DC2E08553DF2972A5537EA473116FE61?width=172&amp;height=172
114,Squid with Chinese Mushroom,,37.8,
115,Squid with Ginger & Spring Onion,,37.8,
116,Squid with Mix Vegetables,,37.8,
117,Squid with Pineapple,,37.8,
118,Squid with Salt & Pepper,,37.8,https://images.deliveryhero.io/image/talabat/Menuitems/6733940D7143B2D7981A2BEB8FA9E843?width=172&amp;height=172
119,Bean Curd with Choice of Sauce,,29.4,https://images.deliveryhero.io/image/talabat/Menuitems/C9E5BB9F021EA32DA6C9CBCF1F16C9CC?width=172&amp;height=172
120,Bean Curd with Mushroom & Bamboo Shoot,,29.4,
121,Broccoli with Chinese Mushroom & Bamboo Shoot,,29.4,
122,Button Mushroom with Veg. & Cashewnuts,,29.4,
123,Cauliflower Manchurian,,29.4,https://images.deliveryhero.io/image/talabat/Menuitems/745C876EEE0F09E89BBEC093F606F72F?width=172&amp;height=172
124,Crispy Vegetables in Choice of Sauce,,30.45,
125,Mix Vegetables in Choice of Sauce,,29.4,
126,Stir Fried Broccoli,,33.6,
127,Stir Fried Mix Vegetable,,29.4,
128,Stir Fried Pakchoi,,27.3,
129,Veg. Shanghai Fried Rice Schezwan,,26.25,
130,Vegetable Balls in Choice of Sauce,,29.4,https://images.deliveryhero.io/image/talabat/Menuitems/DA96B9C392CE58772A140554721969A3?width=172&amp;height=172
131,Vegetable Chopsuey American,,29.4,
132,Vegetable Chopsuey Chinese,,27.3,
133,Vegetable Chowmein,,24.15,
134,Vegetable Hakka Noodles - Normal,,25.2,
135,Vegetable Hakka Noodles-Schezwan,,27.3,
136,Vegetable Mai Fan - Normal,,25.2,
137,Vegetable Mai Fan - Schezwan,,27.3,
138,Vegetable Peking Noodles,,26.25,
139,Vegetable Rice - Normal,,25.2,
140,Vegetable Rice -Schezwan,,27.3,https://images.deliveryhero.io/image/talabat/Menuitems/7A6C8AF33E57660372015CF38FA793FA?width=172&amp;height=172
