Sno,Items,Description,Price(in AED),Image url
77,Tiramisu,Homemade Tiramisu - our Chef's special!,25,https://images.deliveryhero.io/image/talabat/Menuitems/3348C3266A0D10BE311563AB6C445186?width=172&amp;height=172
78,Banana Caramel Pudding,"A creamy pile of deliciousness made with caramelised banana, custard cream, and banana caramel sauce",28,https://images.deliveryhero.io/image/talabat/Menuitems/70E3118A1586C2E909A5CE560A51BA34?width=172&amp;height=172
79,Homemade Chocolate Fudge Brownie,"A light textured fudgey, chocolaty, super soft and crumbly brownie Contains Nuts",23,https://images.deliveryhero.io/image/talabat/Menuitems/5C3C79B12F933B5BF790E5FE4DB97904?width=172&amp;height=172
80,Toffee Hazelnut Sponge,Homemade toffee sponge with creme anglaise and toffee nut caramel sauce,28,https://images.deliveryhero.io/image/talabat/Menuitems/89E8FD434DC4138CB337AEB57BAF2936?width=172&amp;height=172
81,Stuffed Choc Chip Cookie,"Soft, chewy, buttery, and stuffed with nutella - need we say more?!",19,https://images.deliveryhero.io/image/talabat/Menuitems/5B1C51695211E7650D3FFBD00339D212?width=172&amp;height=172
82,Pizza Lulu,"Rocco's classic oven baked dough, generously topped with Nutella and crushed nuts!",29,https://images.deliveryhero.io/image/talabat/Menuitems/DF0EB78F7688D8E97E98F3929764520A?width=172&amp;height=172
83,Belgian Chocolate Mousse,"Thick, creamy and deliciously chocolatey. Made with authentic Belgian dark chocolate",23,https://images.deliveryhero.io/image/talabat/Menuitems/1DABE5BC851B66B4B29A079B206E2ED5?width=172&amp;height=172
84,Fresh Orange Juice,Freshly squeezed orange juice,19,https://images.deliveryhero.io/image/talabat/Menuitems/10DEC69C95B1722300860A120026D49B?width=172&amp;height=172
85,Fresh Lemon & Mint,Freshly squeezed lemon with mint,19,https://images.deliveryhero.io/image/talabat/Menuitems/59D23AEDA2966A16A9F9F3045A29EA7E?width=172&amp;height=172
86,Coca Cola,,9,https://images.deliveryhero.io/image/talabat/Menuitems/1E7F895254C76D7908DC2F59D0FD482F?width=172&amp;height=172
87,Coca Cola (Zero),,9,https://images.deliveryhero.io/image/talabat/Menuitems/D2AF3EAF7FC737E3A95DC40BA27705D4?width=172&amp;height=172
88,Sprite,,9,https://images.deliveryhero.io/image/talabat/Menuitems/BEEBFC0D173DE133AB4E78B95AABAB26?width=172&amp;height=172
89,Sprite Zero,,9,https://images.deliveryhero.io/image/talabat/Menuitems/8AF94EE3954E9F4C32DD9855AAEAD760?width=172&amp;height=172
90,Fanta Orange,,9,https://images.deliveryhero.io/image/talabat/Menuitems/0CC8E0B7EE0BEE0EF3AF716258D70525?width=172&amp;height=172
91,Arwa (500ml),,3,https://images.deliveryhero.io/image/talabat/Menuitems/B4ADA9F28F3DBD00DE88103EFDD6EC7C?width=172&amp;height=172
92,Acqua Panna Small (250ml),,8,https://images.deliveryhero.io/image/talabat/Menuitems/A22F6ACBE2CF90F3746FBC6A6F4173D8?width=172&amp;height=172
93,San Pellegrino Small (250ml),,9,https://images.deliveryhero.io/image/talabat/Menuitems/85D922621B77F50A74DD3336F1C01219?width=172&amp;height=172
